id,organizacao,setor_codificador_1,setor_codificador_2
1,Professor de Ciência da Religião - Universidade Federal de Juiz de Fora - MG,,
2,Federação Nacional dos Trabalhadores dos Ministérios Públicos Estaduais (Fenamp),,
3,"Ministério de Desenvolvimento, Indústria, Comércio e Serviços (MDIC)",,
4,19ª Promotoria de Justiça do Ministério Público do Estado do Rio Grande do Norte - MPRN,,
5,Associação Brasileira de Instituições Educacionais Evangélicas - ABIEE (Não confirmado),,
6,Instituto Brasil Logística - IBL,,
7,Secretaria de Atenção Primária à Saúde do Ministério da Saúde,,
8,Supremo Tribunal Federal e Relator da ADI 7.808/STF,,
9,Fundação Nacional do Índio - FUNAI,,
10,Políticas para Quilombolas e Ciganos do Ministério da Igualdade Racial (confirmado),,
11,7. Associação Catarinense dos Transportadores Rodoviários de Carga - ACTRC,,
12,Trabalho do Ministério Público do Trabalho (MPT),,
13,Federação de Agricultura e Pecuária do Mato Grosso do Sul (FAMASUL),,
14,Consultor Médico da Secretaria Estadual de Saúde de Minas Gerais,,
15,Confederação Brasileira de Desportos na Neve (CBDN),,
16,Instituto para Desenvolvimento do Varejo - IDV (Confirmado),,
17,Fundação Telefônica Vivo,,
18,Comissão de Educação da Câmara dos Deputados,,
19,Tribunal de Justiça do Rio Grande do Sul,,
20,8) FLÁVIO ARNS (Não Participará) - Senador da República,,
21,Caixa de Assistência dos Funcionários do Banco da Amazônia | CASF,,
22,Trabalho - Ministério Público do Trabalho,,
23,Federação para Cooperativas de Leiter de Minas Gerais (FECOAGRO LEITE/MG),,
24,Federação dos Trabalhadores na Agricultura no Rio Grande do Sul - FETAG/RS,,
25,Instituto de Pesquisa Econômica e Aplicada (Ipea),,
26,Confederação Nacional dos Transportadores Autônomos - CNTA,,
27,Comitê Local DF Marcha de Mulheres Negras 2025,,
28,Comissária de Polícia,,
29,"ADRIANNA DE ABREU, Instituto Brasileiro da Família (REQ 37/25) (Confirmada)",,
30,Associação Brasileira de Geração de Energia Limpa - ABRAGEL,,
31,Pesquisadora da Fundacentro do Ministério do Trabalho e Emprego,,
32,Ministério do Fazenda,,
33,Associação Quilombola Vila Santa Efigênia e adjacências (confirmada),,
34,Secretaria Nacional de Assistência Social,,
35,AudFiscal do Tribunal de Contas da União - TCU (Confirmado),,
36,Rede Brasileira do Bambu (RBB),,
37,7) VERUSKA MACHADO (Confirmada - participação presencial) Reitora dos Institutos Federais,,
38,Proteste Euroconsumers-Brasil - Associação Brasileira de Defesa do Consumidor (Confirmado),,
39,Secretaria do Meio Ambiente e da Economia Verde do Estado de Santa Catarina (SEMAE),,
40,Conselho Nacional de Assistência Social (CNAS),,
41,Associação Brasileira das Empresas Geradoras de Energia Elétrica - ABRAGE,,
42,Confederação dos Servidores Públicos do Brasil – CSPB,,
43,3) DOUGLAS VILHENA (Confirmado) - Professor da Universidade Federal de Juiz de Fora,,
44,Federação das Associações Comerciais do Estado de São Paulo - Facesp,,
45,"RAFAEL FONTELES, Governador do Estado do Piauí; (CONFIRMADO)",,
46,Associação Nacional dos Membros do Ministério Público - CONAMP (confirmado) - REQ 15,,
47,Federação Nacional dos Atletas Profissionais de Futebol (FENAPAF),,
48,Comissão de Atletas da Confederação Brasileira de Basquete (CBB),,
49,Banco Nacional de Desenvolvimento Econômico e Social BNDES,,
50,Conselho Nacional de Secretários Municipais de Saúde (CONASEMS),,
51,Confederação Sul-Americana de Futebol (CONMEBOL),,
52,Empresa OpenAI,,
53,Subsecretaria da Dívida Pública do Tesouro Nacional,,
54,Associação Brasileira de Pessoas com Hemofilia - ABRAPHEM,,
55,Instituto Migrações e Direitos Humanos,,
56,Secretaria de Políticas para Mulheres em Caruaru - PE,,
57,Articulacao dos Empregados Rurais do Estado de Minas Gerais (ADERE),,
58,Federação Varejista do Rio Grande do Sul,,
59,Conselho Nacional de Secretarias Municipais de Saúde (Conasems),,
60,Conselho Nacional de Secretários de Estado da Administração,,
61,Federação Nacional dos Trabalhadores do Judiciário nos Estados,,
