id,organizacao,setor_codificador_1,setor_codificador_2
1,Professor de Ciência da Religião - Universidade Federal de Juiz de Fora - MG,Indefinido,Estado
2,Federação Nacional dos Trabalhadores dos Ministérios Públicos Estaduais (Fenamp),Terceiro Setor,Terceiro Setor
3,"Ministério de Desenvolvimento, Indústria, Comércio e Serviços (MDIC)",Estado,Estado
4,19ª Promotoria de Justiça do Ministério Público do Estado do Rio Grande do Norte - MPRN,Estado,Estado
5,Associação Brasileira de Instituições Educacionais Evangélicas - ABIEE (Não confirmado),Terceiro Setor,Terceiro Setor
6,Instituto Brasil Logística - IBL,Mercado,Terceiro Setor
7,Secretaria de Atenção Primária à Saúde do Ministério da Saúde,Estado,Estado
8,Supremo Tribunal Federal e Relator da ADI 7.808/STF,Estado,Estado
9,Fundação Nacional do Índio - FUNAI,Estado,Estado
10,Políticas para Quilombolas e Ciganos do Ministério da Igualdade Racial (confirmado),Estado,Estado
11,7. Associação Catarinense dos Transportadores Rodoviários de Carga - ACTRC,Terceiro Setor,Terceiro Setor
12,Trabalho do Ministério Público do Trabalho (MPT),Estado,Estado
13,Federação de Agricultura e Pecuária do Mato Grosso do Sul (FAMASUL),Terceiro Setor,Terceiro Setor
14,Consultor Médico da Secretaria Estadual de Saúde de Minas Gerais,Indefinido,Estado
15,Confederação Brasileira de Desportos na Neve (CBDN),Terceiro Setor,Terceiro Setor
16,Instituto para Desenvolvimento do Varejo - IDV (Confirmado),Terceiro Setor,Terceiro Setor
17,Fundação Telefônica Vivo,Mercado,Terceiro Setor
18,Comissão de Educação da Câmara dos Deputados,Estado,Estado
19,Tribunal de Justiça do Rio Grande do Sul,Estado,Estado
20,8) FLÁVIO ARNS (Não Participará) - Senador da República,Indefinido,Estado
21,Caixa de Assistência dos Funcionários do Banco da Amazônia | CASF,Terceiro Setor,Terceiro Setor
22,Trabalho - Ministério Público do Trabalho,Estado,Estado
23,Federação para Cooperativas de Leiter de Minas Gerais (FECOAGRO LEITE/MG),Terceiro Setor,Terceiro Setor
24,Federação dos Trabalhadores na Agricultura no Rio Grande do Sul - FETAG/RS,Terceiro Setor,Terceiro Setor
25,Instituto de Pesquisa Econômica e Aplicada (Ipea),Estado,Estado
26,Confederação Nacional dos Transportadores Autônomos - CNTA,Terceiro Setor,Terceiro Setor
27,Comitê Local DF Marcha de Mulheres Negras 2025,Terceiro Setor,Terceiro Setor
28,Comissária de Polícia,Indefinido,Estado
29,"ADRIANNA DE ABREU, Instituto Brasileiro da Família (REQ 37/25) (Confirmada)",Terceiro Setor,Terceiro Setor
30,Associação Brasileira de Geração de Energia Limpa - ABRAGEL,Terceiro Setor,Terceiro Setor
31,Pesquisadora da Fundacentro do Ministério do Trabalho e Emprego,Indefinido,Estado
32,Ministério do Fazenda,Estado,Estado
33,Associação Quilombola Vila Santa Efigênia e adjacências (confirmada),Terceiro Setor,Terceiro Setor
34,Secretaria Nacional de Assistência Social,Estado,Estado
35,AudFiscal do Tribunal de Contas da União - TCU (Confirmado),Estado,Estado
36,Rede Brasileira do Bambu (RBB),Terceiro Setor,Terceiro Setor
37,7) VERUSKA MACHADO (Confirmada - participação presencial) Reitora dos Institutos Federais,Estado,Estado
38,Proteste Euroconsumers-Brasil - Associação Brasileira de Defesa do Consumidor (Confirmado),Terceiro Setor,Terceiro Setor
39,Secretaria do Meio Ambiente e da Economia Verde do Estado de Santa Catarina (SEMAE),Estado,Estado
40,Conselho Nacional de Assistência Social (CNAS),Estado,Estado
41,Associação Brasileira das Empresas Geradoras de Energia Elétrica - ABRAGE,Terceiro Setor,Terceiro Setor
42,Confederação dos Servidores Públicos do Brasil – CSPB,Estado,Terceiro Setor
43,3) DOUGLAS VILHENA (Confirmado) - Professor da Universidade Federal de Juiz de Fora,Indefinido,Estado
44,Federação das Associações Comerciais do Estado de São Paulo - Facesp,Terceiro Setor,Terceiro Setor
45,"RAFAEL FONTELES, Governador do Estado do Piauí; (CONFIRMADO)",Estado,Estado
46,Associação Nacional dos Membros do Ministério Público - CONAMP (confirmado) - REQ 15,Terceiro Setor,Terceiro Setor
47,Federação Nacional dos Atletas Profissionais de Futebol (FENAPAF),Terceiro Setor,Terceiro Setor
48,Comissão de Atletas da Confederação Brasileira de Basquete (CBB),Terceiro Setor,Terceiro Setor
49,Banco Nacional de Desenvolvimento Econômico e Social BNDES,Estado,Estado
50,Conselho Nacional de Secretários Municipais de Saúde (CONASEMS),Estado,Terceiro Setor
51,Confederação Sul-Americana de Futebol (CONMEBOL),Terceiro Setor,Terceiro Setor
52,Empresa OpenAI,Mercado,Mercado
53,Subsecretaria da Dívida Pública do Tesouro Nacional,Estado,Estado
54,Associação Brasileira de Pessoas com Hemofilia - ABRAPHEM,Terceiro Setor,Terceiro Setor
55,Instituto Migrações e Direitos Humanos,Terceiro Setor,Terceiro Setor
56,Secretaria de Políticas para Mulheres em Caruaru - PE,Estado,Estado
57,Articulacao dos Empregados Rurais do Estado de Minas Gerais (ADERE),Terceiro Setor,Terceiro Setor
58,Federação Varejista do Rio Grande do Sul,Terceiro Setor,Terceiro Setor
59,Conselho Nacional de Secretarias Municipais de Saúde (Conasems),Estado,Terceiro Setor
60,Conselho Nacional de Secretários de Estado da Administração,Estado,Terceiro Setor
61,Federação Nacional dos Trabalhadores do Judiciário nos Estados,Terceiro Setor,Terceiro Setor
62,Instituto Brasileiro do Meio Ambiente e dos Recursos Renováveis (IBAMA),Estado,Estado
63,Sindicato dos Especialistas de Educação do Ensino Público Municipal de São Paulo (Sinesp),Terceiro Setor,Terceiro Setor
64,Associação Nacional de Hospitais Privados (Anahp),Terceiro Setor,Terceiro Setor
65,Concessionária EPR Via Mineira S/A,Mercado,Mercado
66,Associação Brasileira de Criminalística,Terceiro Setor,Terceiro Setor
67,Associação Ypassali Sanöma (confirmado),Terceiro Setor,Terceiro Setor
68,consórcio intermunicipal de saúde da rede de urgência Centro Sul,Terceiro Setor,Estado
69,Associação Internacional Para Estudo da Dor - IASP Brasil,Terceiro Setor,Terceiro Setor
70,"Instituto Nacional de Estudos e Pequisas Educacionais Anísio Teixeira (INEP), Sr",Estado,Estado
71,Políticas de Futebol e Promoção do Futebol Feminino do Ministério do Esporte (presencial),Estado,Estado
72,Setor Leiteiro da Confederação da Agricultura e Pecuária do Brasil (CNA),Estado,Terceiro Setor
73,Avaliação da Educação Superior do Ministério da Educação,Estado,Estado
74,Confederação Nacional dos Trabalhadores na Agricultura - CONTAG,Terceiro Setor,Terceiro Setor
75,Confederação Nacional de Trabalhadores do Ramo Financeiro - Contraf,Terceiro Setor,Terceiro Setor
76,Preservação e Difusão Audiovisual do Ministério da Cultura (confirmada),Estado,Estado
77,presidência da Federação Brasileira dos Treinadores de -Futebol (FBTF),Terceiro Setor,Terceiro Setor
78,5)Ministério das Comunicações ou Representante - MCOM (Declinou),Estado,Estado
79,ONG Subúrbio Carioca,Terceiro Setor,Terceiro Setor
80,Agência Nacional de Proteção de Dados - ANPD,Estado,Estado
81,Trabalhadoras do Judiciário Federal e Ministério Público da União (FENAJUFE),Estado,Terceiro Setor
82,Senador ZEQUINHA MARINHO,Estado,Estado
83,Ministério da Igualdade Racial (Confirmada),Estado,Estado
84,INSTITUTO SOCIAL EUMELANINA,Terceiro Setor,Terceiro Setor
85,Socioeducativa da Secretaria de Estado de,Indefinido,Estado
86,Federação Nacional do Comércio de Combustíveis e Lubrificantes (FECOMBUSTÍVEIS),Terceiro Setor,Terceiro Setor
87,Associação dos Policiais Penais do Brasil - Ageppen/Brasil,Terceiro Setor,Terceiro Setor
88,Direito Digital do Ministério da Justiça e Segurança Pública,Indefinido,Estado
89,Médico neurologista do Departamento de Atenção à Saúde da Câmara dos Deputados,Indefinido,Estado
90,Associação Brasileira de Zonas de Processamento de Exportação - ABRAZPE,Terceiro Setor,Terceiro Setor
91,Sociedade Brasileira de Cirurgia Pediátrica,Terceiro Setor,Terceiro Setor
92,Relações Estudantis e Serviços Digitais do Ministério da Educação,Estado,Estado
93,empresa BR Media Group pesquisadora em trabalho infantil e exploração econômica,Mercado,Mercado
94,"5. Fernando Moutinho, da Consultoria de Orçamentos, Fiscalização e Controle do Senado",Estado,Estado
95,Instituto Brasileiro de Direitos Culturais - IBDCULT (Confirmado),Terceiro Setor,Terceiro Setor
96,da Associação de Bets e Fantasy Sport (ABFS),Terceiro Setor,Terceiro Setor
97,Federação dos Trabalhadores na Agricultura no Rio Grande do Sul - FEETAG-RS,Terceiro Setor,Terceiro Setor
98,Consultora da Secretaria de Educação Básica,Terceiro Setor,Estado
99,Instituto Oncoguia (confirmada),Terceiro Setor,Terceiro Setor
100,Senador PL|RJ,Estado,Estado
101,Comissão de Educação da 1ª Câmara do Ministério Público Federal,Estado,Estado
102,Associação Nacional dos Detrans - AND,Terceiro Setor,Terceiro Setor
103,Associação Gaúcha dos Produtores de Bambu,Terceiro Setor,Terceiro Setor
104,SINDICATO DOS SERVIDORES DO MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS - SINDSEMP-MG,Terceiro Setor,Terceiro Setor
105,Associação Brasileira de Medicina de Tráfego - ABRAMET,Terceiro Setor,Terceiro Setor
106,"Paraíba, representando o Conselho Federal de Medicina",Terceiro Setor,Estado
107,Conselho de Arquitetura e Urbanismo do Acre (CAU/AC),Terceiro Setor,Estado
108,Sindicato Nacional dos Docentes das Instituições de Ensino Superior | ANDES - SN,Terceiro Setor,Terceiro Setor
109,Downstream do Instituto Brasileiro de Petróleo e Gás - IBP,Estado,Terceiro Setor
110,"CLÉCIO LUIS, Governador do Estado do Amapá (confirmado) - REQ 94",Estado,Estado
111,Associação Ostomizados do Mato Grosso do Sul - AOMS,Terceiro Setor,Terceiro Setor
112,Associação dos Aposentados e Pensionistas Nacional - AAPEN,Terceiro Setor,Terceiro Setor
113,Confederação dos Servidores do Brasil - CSPB,Terceiro Setor,Terceiro Setor
114,Instituto Palavra Aberta,Terceiro Setor,Terceiro Setor
115,"FÓRUM DAS ENTIDADES REPRESENTATIVAS DOS SERVIDORES DA CULTURA (CONFIRMADA), E",Terceiro Setor,Terceiro Setor
116,Fundação Abrinq,Terceiro Setor,Terceiro Setor
117,Sociedade Civil na Negociação do Tratado Internacional sobre Plásticos,Terceiro Setor,Terceiro Setor
118,Federação Nacional de Sindicatos de Guardas Municipais - FENAGUARDAS,Terceiro Setor,Terceiro Setor
119,Secretaria Nacional de Políticas Penais do Ministério da Justiça e Segurança Pública,Terceiro Setor,Estado
120,Centro Brasileiro de Relações Internacionais - CEBRI,Terceiro Setor,Terceiro Setor
121,Sindicato dos Jornalistas do Município do Rio de Janeiro,Terceiro Setor,Terceiro Setor
122,Federação Nacional dos Atletas Profissionais de Futebol (Fenapaf) (presencial),Terceiro Setor,Terceiro Setor
123,"NIOMAR DE SOUSA NOGUEIRA, Associação Nacional dos Advogados da União",Terceiro Setor,Terceiro Setor
124,Conselho Plano do Rio Grande (Confirmado),Estado,Estado
125,Central Estadual de Transplantes do Distrito Federal (CET-DF),Estado,Estado
126,Relações com Consumidores da ANATEL,Indefinido,Estado
127,"7) JOSÉ ROBERTO SAVOIA, Professor da Universidade de São Paulo (Confirmado)",Indefinido,Estado
128,Assembleia Legislativa do Estado do Tocantins/TO,Estado,Estado
129,Movimento dos Atingidos por Barragens em MG(confirmada),Terceiro Setor,Terceiro Setor
130,Sindicato Nacional dos Servidores das Agências Nacionais de Regulação - SINAGÊNCIAS,Terceiro Setor,Terceiro Setor
131,Associação Brasileira de Direito e Economia - ABDE,Terceiro Setor,Terceiro Setor
132,INSTITUTO IPA BRASIL,Terceiro Setor,Terceiro Setor
133,Instituto Reúna,Terceiro Setor,Terceiro Setor
134,Confederação das Associações Comerciais e Empresariais do Brasil (CACB),Terceiro Setor,Terceiro Setor
135,Polícia Federal - Coordenador-Geral de Controle de Serviços e Produtos - CGCSP/DPA,Estado,Estado
136,Ministério do Trabalho e Emprego (MTE),Estado,Estado
137,Ministro de Estado da Saúde ( confirmado),Estado,Estado
138,Federação de Pescadores do Estado de Rondônia,Terceiro Setor,Terceiro Setor
139,Empresa Solinftec,Mercado,Mercado
140,Coordenaddora de Oceanos e Águas do Instituto Arayara,Estado,Terceiro Setor
141,Ministério da Saúde,Estado,Estado
142,Divisão de Repressão ao Trabalho Forçado da Policia Federal,Estado,Estado
143,"ABF Regional Centro-Oeste, representando a Associação Brasileira de Franchising (ABF)",Terceiro Setor,Terceiro Setor
144,Conselho Federal de Serviço Social (CFESS),Terceiro Setor,Estado
145,Instituto do Coração - Faculdade de Medicina da USP,Estado,Estado
146,Movimento Estadual dos Profissionais Não Docentes do Acre,Terceiro Setor,Terceiro Setor
147,Sindicato dos Médicos do Estado de Sergipe (Sindimed),Terceiro Setor,Terceiro Setor
148,Movimento 8M,Terceiro Setor,Terceiro Setor
149,Ministério da Justiça e Segurança Pública | MJSP,Estado,Estado
150,Associação Brasileira do Biogás e do Biometano - ABIOGÁS,Terceiro Setor,Terceiro Setor
