id,organizacao,heuristica_antiga,classificador_novo
1,Professor de Ciência da Religião - Universidade Federal de Juiz de Fora - MG,Estado,Estado
2,Federação Nacional dos Trabalhadores dos Ministérios Públicos Estaduais (Fenamp),Estado,Terceiro setor
3,"Ministério de Desenvolvimento, Indústria, Comércio e Serviços (MDIC)",Estado,Estado
4,19ª Promotoria de Justiça do Ministério Público do Estado do Rio Grande do Norte - MPRN,Estado,Estado
5,Associação Brasileira de Instituições Educacionais Evangélicas - ABIEE (Não confirmado),Terceiro setor,Terceiro setor
6,Instituto Brasil Logística - IBL,Terceiro setor,Terceiro setor
7,Secretaria de Atenção Primária à Saúde do Ministério da Saúde,Estado,Estado
8,Supremo Tribunal Federal e Relator da ADI 7.808/STF,Estado,Estado
9,Fundação Nacional do Índio - FUNAI,Estado,Estado
10,Políticas para Quilombolas e Ciganos do Ministério da Igualdade Racial (confirmado),Estado,Estado
11,7. Associação Catarinense dos Transportadores Rodoviários de Carga - ACTRC,Terceiro setor,Terceiro setor
12,Trabalho do Ministério Público do Trabalho (MPT),Estado,Estado
13,Federação de Agricultura e Pecuária do Mato Grosso do Sul (FAMASUL),Terceiro setor,Mercado
14,Consultor Médico da Secretaria Estadual de Saúde de Minas Gerais,Estado,Estado
15,Confederação Brasileira de Desportos na Neve (CBDN),Terceiro setor,Terceiro setor
16,Instituto para Desenvolvimento do Varejo - IDV (Confirmado),Terceiro setor,Terceiro setor
17,Fundação Telefônica Vivo,Terceiro setor,Terceiro setor
18,Comissão de Educação da Câmara dos Deputados,Estado,Estado
19,Tribunal de Justiça do Rio Grande do Sul,Estado,Estado
20,8) FLÁVIO ARNS (Não Participará) - Senador da República,Estado,Indefinido
21,Caixa de Assistência dos Funcionários do Banco da Amazônia | CASF,Mercado,Indefinido
22,Trabalho - Ministério Público do Trabalho,Estado,Estado
23,Federação para Cooperativas de Leiter de Minas Gerais (FECOAGRO LEITE/MG),Terceiro setor,Terceiro setor
24,Federação dos Trabalhadores na Agricultura no Rio Grande do Sul - FETAG/RS,Terceiro setor,Terceiro setor
25,Instituto de Pesquisa Econômica e Aplicada (Ipea),Terceiro setor,Estado
26,Confederação Nacional dos Transportadores Autônomos - CNTA,Terceiro setor,Mercado
27,Comitê Local DF Marcha de Mulheres Negras 2025,Indefinido,Terceiro setor
28,Comissária de Polícia,Estado,Indefinido
29,"ADRIANNA DE ABREU, Instituto Brasileiro da Família (REQ 37/25) (Confirmada)",Terceiro setor,Terceiro setor
30,Associação Brasileira de Geração de Energia Limpa - ABRAGEL,Terceiro setor,Terceiro setor
31,Pesquisadora da Fundacentro do Ministério do Trabalho e Emprego,Estado,Estado
32,Ministério do Fazenda,Estado,Estado
33,Associação Quilombola Vila Santa Efigênia e adjacências (confirmada),Terceiro setor,Terceiro setor
34,Secretaria Nacional de Assistência Social,Estado,Estado
35,AudFiscal do Tribunal de Contas da União - TCU (Confirmado),Estado,Estado
36,Rede Brasileira do Bambu (RBB),Indefinido,Terceiro setor
37,7) VERUSKA MACHADO (Confirmada - participação presencial) Reitora dos Institutos Federais,Indefinido,Indefinido
38,Proteste Euroconsumers-Brasil - Associação Brasileira de Defesa do Consumidor (Confirmado),Terceiro setor,Terceiro setor
39,Secretaria do Meio Ambiente e da Economia Verde do Estado de Santa Catarina (SEMAE),Estado,Indefinido
40,Conselho Nacional de Assistência Social (CNAS),Terceiro setor,Estado
41,Associação Brasileira das Empresas Geradoras de Energia Elétrica - ABRAGE,Mercado,Mercado
42,Confederação dos Servidores Públicos do Brasil – CSPB,Terceiro setor,Terceiro setor
43,3) DOUGLAS VILHENA (Confirmado) - Professor da Universidade Federal de Juiz de Fora,Estado,Estado
44,Federação das Associações Comerciais do Estado de São Paulo - Facesp,Estado,Terceiro setor
45,"RAFAEL FONTELES, Governador do Estado do Piauí; (CONFIRMADO)",Estado,Indefinido
46,Associação Nacional dos Membros do Ministério Público - CONAMP (confirmado) - REQ 15,Estado,Estado
47,Federação Nacional dos Atletas Profissionais de Futebol (FENAPAF),Terceiro setor,Terceiro setor
48,Comissão de Atletas da Confederação Brasileira de Basquete (CBB),Terceiro setor,Terceiro setor
49,Banco Nacional de Desenvolvimento Econômico e Social BNDES,Estado,Estado
50,Conselho Nacional de Secretários Municipais de Saúde (CONASEMS),Terceiro setor,Indefinido
51,Confederação Sul-Americana de Futebol (CONMEBOL),Terceiro setor,Terceiro setor
52,Empresa OpenAI,Mercado,Indefinido
53,Subsecretaria da Dívida Pública do Tesouro Nacional,Estado,Indefinido
54,Associação Brasileira de Pessoas com Hemofilia - ABRAPHEM,Terceiro setor,Terceiro setor
55,Instituto Migrações e Direitos Humanos,Terceiro setor,Terceiro setor
